City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
176,Vryburg,ZA,-26.9566,24.7284,60.44,23,0,12.01,clear sky,2021-06-06 14:32:22
177,Isiro,CD,2.7739,27.616,73.63,91,79,2.28,light rain,2021-06-06 14:32:22
178,Bud,US,39.447,-86.1758,78.13,83,98,5.1,overcast clouds,2021-06-06 14:32:22
179,Grand Gaube,MU,-20.0064,57.6608,76.37,81,62,1.99,broken clouds,2021-06-06 14:32:22
180,Port-Gentil,GA,-0.7193,8.7815,84.16,74,40,14.97,scattered clouds,2021-06-06 14:32:23
181,Sakakah,SA,29.9697,40.2064,101.77,9,2,16.28,clear sky,2021-06-06 14:32:23
182,Honiara,SB,-9.4333,159.95,77.36,89,13,5.12,few clouds,2021-06-06 14:32:23
183,Lorengau,PG,-2.0226,147.2712,79.52,86,98,14.94,overcast clouds,2021-06-06 14:32:24
184,Kodiak,US,57.79,-152.4072,51.31,54,1,14.97,clear sky,2021-06-06 14:32:24
185,Itarema,BR,-2.9248,-39.9167,87.87,56,13,10.11,few clouds,2021-06-06 14:32:25
186,Houma,US,29.5958,-90.7195,82.99,87,90,12.66,overcast clouds,2021-06-06 14:32:25
187,Mbandaka,CD,0.0487,18.2603,75.31,82,99,2.51,light rain,2021-06-06 14:32:25
188,San Quintin,MX,30.4833,-115.95,71.44,75,100,1.23,overcast clouds,2021-06-06 14:32:25
189,Hamilton,US,39.1834,-84.5333,80.73,72,75,1.01,broken clouds,2021-06-06 14:29:28
190,Canutama,BR,-6.5339,-64.3831,82.22,79,100,0.56,overcast clouds,2021-06-06 14:28:35
191,Iqaluit,CA,63.7506,-68.5145,31.73,100,90,8.01,light snow,2021-06-06 14:29:48
192,Tiksi,RU,71.6872,128.8694,42.76,67,83,7.96,broken clouds,2021-06-06 14:32:26
193,Albacete,ES,38.8333,-2.0,78.19,36,20,10.09,few clouds,2021-06-06 14:32:26
194,Gohad,IN,26.4261,78.4447,98.56,26,49,5.06,scattered clouds,2021-06-06 14:32:27
