City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
393,Elena,BG,81.84,scattered clouds,42.9333,25.8833,
394,San Rafael Del Sur,NI,85.17,overcast clouds,11.8485,-86.4384,
396,Kavieng,PG,82.18,overcast clouds,-2.5744,150.7967,
397,Mayumba,GA,78.98,broken clouds,-3.432,10.6554,
398,Balsas,BR,88.39,scattered clouds,-7.5325,-46.0356,
399,Bimbo,CF,76.93,broken clouds,4.2567,18.4158,
401,Varhaug,NO,66.85,broken clouds,58.6147,5.6457,
403,Puerto Del Rosario,ES,76.68,few clouds,28.5004,-13.8627,
404,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,
405,Kilifi,KE,82.78,clear sky,-3.6305,39.8499,
406,Trairi,BR,87.28,scattered clouds,-3.2778,-39.2689,
407,Neubrandenburg,DE,69.85,overcast clouds,53.5667,13.2667,
408,Nuevo Ideal,MX,70.36,clear sky,24.8875,-105.0728,
410,Manzanillo,CU,83.44,few clouds,20.3433,-77.1167,
411,Beloha,MG,64.26,broken clouds,-25.1667,45.05,
412,Laguna,US,72.97,clear sky,38.421,-121.4238,
413,Saint George,US,86.34,clear sky,37.1041,-113.5841,
415,Waverly,US,83.55,clear sky,42.7392,-84.6208,
416,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,
418,Indiaroba,BR,80.06,broken clouds,-11.5192,-37.5117,
419,Waingapu,ID,77.45,overcast clouds,-9.6567,120.2641,
420,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,
421,Tonantins,BR,85.87,light rain,-2.8731,-67.8022,
422,Kutum,SD,93.4,clear sky,14.2,24.6667,
424,Tall Kayf,TR,92.59,clear sky,37.0833,41.0667,
425,Ponta Delgada,PT,68.72,few clouds,37.7333,-25.6667,
426,Qianguo,CN,60.13,few clouds,45.1171,124.8568,
427,Takoradi,GH,83.88,light rain,4.8845,-1.7554,
428,Cockburn Town,TC,80.04,clear sky,21.4612,-71.1419,
429,Prochnookopskaya,RU,73.35,light rain,45.0666,41.1175,
430,Contai,IN,87.49,broken clouds,21.7786,87.7536,
431,Abu Zabad,SD,81.64,light rain,12.35,29.25,
434,Marshalltown,US,80.47,clear sky,42.0494,-92.90799999999999,
435,Cafarnaum,BR,78.75,overcast clouds,-11.6936,-41.4683,
436,Mahon,ES,75.76,clear sky,39.8885,4.2658,
439,Inyonga,TZ,73.72,overcast clouds,-6.7167,32.0667,
440,Kropotkin,RU,64.29,moderate rain,45.4375,40.5756,
441,Asau,RO,70.72,few clouds,46.4333,26.4,
442,Sola,VU,79.39,scattered clouds,-13.8833,167.55,
443,Chake Chake,TZ,76.5,few clouds,-5.2459,39.7666,
444,Avera,US,81.93,broken clouds,33.194,-82.5271,
445,Banyo,CM,79.74,light rain,6.75,11.8167,
447,Sulangan,PH,82.94,overcast clouds,11.1373,123.7228,
450,Sambava,MG,76.23,scattered clouds,-14.2667,50.1667,
451,Jaffna,LK,83.93,overcast clouds,9.6685,80.0074,
452,Kaduqli,SD,84.25,light rain,11.0167,29.7167,
454,Santa Rosa,PH,85.1,overcast clouds,14.3122,121.1114,
455,Montepuez,MZ,70.03,scattered clouds,-13.1256,38.9997,
456,Bengkulu,ID,75.29,few clouds,-3.8004,102.2655,
457,Makinsk,KZ,62.22,clear sky,52.6292,70.4169,
459,Moanda,GA,82.63,light rain,-1.5575,13.2178,
460,Natal,BR,83.05,broken clouds,-5.795,-35.2094,
462,Boueni,YT,80.58,broken clouds,-12.9025,45.0761,
465,Aksu,CN,83.8,overcast clouds,41.1231,80.2644,
466,Clinton,US,85.95,few clouds,42.586999999999996,-82.9199,
467,Vanimo,PG,77.92,overcast clouds,-2.6741,141.3028,
468,North Platte,US,72.99,clear sky,41.1239,-100.7654,
469,Bar-Le-Duc,FR,71.1,overcast clouds,48.75,5.1667,
470,Rijeka,HR,77.0,few clouds,45.3431,14.4092,
471,Gimli,CA,72.05,broken clouds,50.6336,-96.9907,
472,Vao,NC,71.26,broken clouds,-22.6667,167.4833,
473,Nouakchott,MR,93.13,clear sky,18.0858,-15.9785,
474,Caravelas,BR,80.96,scattered clouds,-17.7125,-39.2481,
476,Boa Vista,BR,84.18,scattered clouds,2.8197,-60.6733,
478,Fethiye,TR,76.87,clear sky,36.6217,29.1164,
479,Van,TR,70.95,few clouds,38.4924,43.3831,
481,Warrington,GB,70.92,broken clouds,53.3925,-2.5802,
482,Vasterhaninge,SE,76.78,overcast clouds,59.1167,18.1,
483,Goderich,CA,82.04,broken clouds,43.7501,-81.7165,
486,Kawalu,ID,73.74,overcast clouds,-7.3817,108.2082,
491,Shingu,JP,68.5,overcast clouds,33.7333,135.9833,
492,Saint-Francois,FR,68.18,overcast clouds,46.4154,3.9054,
493,Waddan,LY,94.08,clear sky,29.1614,16.139,
494,Douglas,US,78.03,clear sky,41.3,-96.167,
495,Trakai,LT,75.54,overcast clouds,54.6333,24.9333,
497,Tharad,IN,87.42,clear sky,24.3961,71.6267,
498,Varanasi,IN,93.29,haze,25.3333,83.0,
499,Sabang,ID,83.61,light rain,5.8933,95.3214,
500,Progreso,MX,85.1,scattered clouds,21.2833,-89.6667,
501,Canton,CN,84.15,broken clouds,23.1167,113.25,
502,Kalino,RU,68.43,scattered clouds,58.2504,57.6085,
503,Oussouye,SN,93.38,scattered clouds,12.485,-16.5469,
